,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
74,2016-02-11,12593,Courtney,02/03/16,Porter,12/22/2015,Plum Tree Financial,75,2700,,431.25,,,75.0,,708.0,,,1656,,725.56,,,,,,,,,,,,,,,90,150,,, 547.19,VA, 5752.81, 456.02
75,2016-02-13,13034,Courtney,02/05/16,Porter,02/03/2016,Louis Vuitton,50,,,200,,,75,,708,,,273,,175,,,,,,,,,,,,,,,,100,,, 50,DC, 1531, 192.42
76,2016-02-13,13032,Courtney,02/05/16,Porter,02/03/2016,Louis Vuitton,60,5096.0,,580,,,90,,,,,315,,210,,,,,,,,,,,,,,,,100,,, 50,MD, 1295, 98.5
77,2016-02-13,11838,Courtney,12/01/15,Porter,10/20/2015,Rogers,225,5096,,580.0,,,392,,,,,4362.91,,2513.5,,,,,,,,,,,,,,,,150,,, 1077.22,DC, 12514.41, 1251.44
78,2016-02-14,13033,Courtney,02/05/16,Porter,02/03/2016,Louis Vuitton,50,1228.0,,580,,,90,,312.0,,,315,,210,341.0,,,,,,,,,,,,,,,100,,, 50,MD, 1295, 98.5
79,2016-02-17,12732,Courtney,01/18/16,Porter,01/07/2016,Evanta,24,1228,,282.0,,,72,,312,,,1866,,597.64,341,,267.5,,,,,,,,,,,,,150,,,542.89,DC, 4566.64, 456.66
80,2016-02-18,13056,Courtney,02/08/16,Porter,02/05/2016,American Diabetes Association,46,1833,,282,,250.0,141,,,,,1158,,294.02,,,267.5,,,,,,,,,,,750.0,,150,,, 542.89,VA, 4125.52, 328.77
81,2016-02-19,13003,Courtney,02/08/16,Porter,02/02/2016,Dellinger,100,1625,,240.0,,250,150.0,,360.0,,,1244,,1010,100.0,,,,,,,,,,,,,750,,150,,, 360,VA, 5029, 322.74
82,2016-02-24,13057,Courtney,02/09/16,Porter,02/05/2016,APLU,44,1130,,240,,100,150,,360,,,1629,,742.8,100,,,,,,,,,,,,,,,150,,, 300,DC, 4601.8,71.86
83,2016-02-27,13254,Courtney,02/23/16,Porter,02/22/2016,Murnane,14,706,,,,,80.0,,400.0,,,1366.0,,21,,,,,,,,,,,,,,,,75,,,120.0,VA, 802, 71.86
84,2016-03-04,13325,Courtney,02/29/16,Porter,02/29/2016,Davis Polk & Wardwell,40,1002,,400.0,,,80,,400,,,1366,,320,,,,,,,,,,,,,,,,150,,, 120,DC, 3318, 331.8
85,2016-03-09,12917,Courtney,01/26/16,Porter,01/26/2016,Community Residences  Inc,110,3100,126.0,400,,,200,,705,,,1950,,755,,,2259.0,,,,,,,,,,,,,75,,, 1090,VA, 7185, 602.8
86,2016-03-12,10551,Courtney,10/19/15,Porter,06/22/2015,Cowdrey,110,4070,126,,,,350.0,,1060.0,300.0,,3045,,1159.62,,,2259,,,,,,,,,,,,,150.0,,, 1363.08,VA, 10659.62, 807.42
87,2016-03-15,13039,Courtney,02/10/16,,02/04/2016,New England Council,100,4350,,,,,350,,1060,300,,4110,,1315.5,,,2484.95,,,,,,,,,,,,,150,,, 905,DC, 14120.45, 1412.05
88,2016-03-16,12620,Courtney,01/27/16,Porter,12/28/2015,Lockheed Martin,180,6369,,,,,890,,1480.0,,,2340,,1587.69,,,804.0,,,,,,,,,,,,,75,,, 1835.91,VA, 11261.69, 961.56
89,2016-03-16,12621,Courtney,01/27/16,Porter,12/28/2015,Lockheed Martin,170,7580,,,,,340,,1480,,,2304,,2118.2,,,804,,,,,,,,,,,,,75,,, 1657.8,VA, 14701.2, 1253.57
90,2016-03-24,12854,Courtney,02/29/16,Porter,01/19/2016,Gramlich,55,1206,,1470.0,,,55,,,,,406,,,,,259.0,,,,,,,,,,,,,115,,,4767.5,DC, 1782, 178.2
91,2016-04-01,13099,Courtney,03/15/16,Porter,02/09/2016,Field School,350,15925,,1470,,62.5,100.0,,,,,6670,,186.9,,,259,,,,,,,,,,,,,125,,, 4767.5,DC, 24449,181.92
92,2016-04-03,13336,Courtney,03/07/16,Porter,02/29/2016,Greer,25,725,,240,,62.5,100,,,,,966,,186.9,,,573.0,,,,,,,,,,,,,150,,,788.6,MD, 2430.4, 181.92
