"Revenue Details By Event"
"Main Event Caterers"
"Event Date Range: 2/11/2017 through 4/12/2017"
"Event Status: Definite, Tentative"
"Business Unit: all"


"BU","Event Type","Event Theme","Customer","Customer ID ","Billing Customer","Event Date","G/C","Event#","AE","Location Name","Food","Food Discount","Coffee Service","Coffee Service Discount","Soft Beverages","Soft Beverages Discount","Alcoholic Beverages","Alcoholic Beverages Discount","Event Personnel","Event Personnel Discount","Equipment","Equipment Discount","Delivery","Delivery Discount","Florals - In House","Florals - In House Discount","Florals - Outside","Florals - Outside Discount","Lighting","Lighting Discount","Entertainment","Entertainment Discount","Valet","Valet Discount","Tenting","Tenting Discount","Other Vendors","Other Vendors Discount","Venue Rental","Venue Rental Discount","Miscellaneous Income","Miscellaneous Income Discount","Gratuity","Gratuity Discount","Credit Card Processing Fee","Credit Card Processing Fee Discount","Venue Fee","Venue Fee Discount","Outside Rentals","Outside Rentals Discount","Promotional","Promotional Discount",Tax,Event Total
"Main Event","Equipment Only","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","2/15/2017","150","17468","Tracy","",,,,,,,,,,,500,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","500",
"Main Event","Breakfast","Corporate","Box","11054","Box","2/16/2017","50","17083","Sam","Spy Museum",990,-0,120,-0,180,-0,,,1141.50,-0,818,-0,150,-0,,,,,,,,,,,,,,,,,,,,,96.74,-0,130,-0,,,,,"339.95","3966.19",
"Main Event","Buffet","Mitzvah's","Alexander","5080","Alexander","2/17/2017","54","17433","Elyse","Your Private Residence",1536,-0,60,-0,0,-0,,,993,-0,998.45,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"279.09","4016.54",
"Main Event","Family Style","Wedding Reception","Howe","10002","Howe","2/18/2017","110","13949","Spenc","National Museum of Women in the Arts",4472,-0,,,600,-0,,,6496,-0,3076.57,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,3391,-0,,,"1818.56","20004.13",
"Main Event","Hot Drop Off","Social","L'Enfant Cafe","10057","L'Enfant Cafe","2/18/2017","127","16627","Spenc","Capitale",3048,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3498",
"Main Event","Buffet","Corporate","L'Enfant Cafe","10057","L'Enfant Cafe","2/19/2017","132","16704","Spenc","Capitale - La Boum",3168,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3618",
"Main Event","All Day","Corporate","Hirshhorn Musuem & Sculpture Garden","4221","Hirshhorn Musuem & Sculpture Garden","2/21/2017","30","16448SUP","Tracy","Hirshhorn",,,,,,,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0,,,"0","0",
"Main Event","Promotional","Promotional Event","International Spy Museum","6637","International Spy Museum","2/21/2017","99","14805","Sam","International Spy Museum",582,-0,,,72,-0,,,336,-0,348.17,-0,0,-0,,,,,,,,,,,,,,,,,,,,,31.70,-0,,,,,,,"0","1369.87",
"Main Event","All Day","Corporate","Hirshhorn Musuem & Sculpture Garden","4221","Hirshhorn Musuem & Sculpture Garden","2/22/2017","30","16448 A","Tracy","Hirshhorn Museum",975,-0,135,-0,135,-0,,,1939,-0,366,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,1133.35,-0,,,"0","4833.35",
"Main Event","All Day","Corporate","Hirshhorn Musuem & Sculpture Garden","4221","Hirshhorn Musuem & Sculpture Garden","2/22/2017","30","16448B","Tracy","Hirshhorn Museum",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
